task,fold,inner_or_outer,project,validation_start,rows_before,rows_after_label_filter,rows_before_cutoff,rows_after_cutoff,rows_after_exact_duplicate_purge,rows_after_normalized_duplicate_purge,max_timestamp_after_cutoff,cutoff_violations_after_filter,source_validation_overlap_after_purge
s6,2,inner_1,Papyrus,2006-10-10 17:41:17+00:00,13253,10910,10910,0,0,0,,0,0
s6,2,inner_2,Papyrus,2007-07-20 06:28:17+00:00,13253,10910,10910,0,0,0,,0,0
s6,3,outer,Papyrus,2010-05-11 09:41:58+00:00,13253,10910,10910,581,581,581,2010-05-10 14:12:01+00:00,0,0
s6,3,inner_1,Papyrus,2007-03-21 20:51:32+00:00,13253,10910,10910,0,0,0,,0,0
s6,3,inner_2,Papyrus,2008-06-10 18:02:48+00:00,13253,10910,10910,0,0,0,,0,0
s3,1,outer,Papyrus,2007-03-21 20:51:32+00:00,13253,10910,10910,0,0,0,,0,0
s3,1,inner_1,Papyrus,2006-02-24 21:14:22+00:00,13253,10910,10910,0,0,0,,0,0
s3,1,inner_2,Papyrus,2006-10-10 17:41:17+00:00,13253,10910,10910,0,0,0,,0,0
s3,2,outer,Papyrus,2008-06-10 18:02:48+00:00,13253,10910,10910,0,0,0,,0,0
s3,2,inner_1,Papyrus,2006-10-10 17:41:17+00:00,13253,10910,10910,0,0,0,,0,0
s3,2,inner_2,Papyrus,2007-07-20 06:28:17+00:00,13253,10910,10910,0,0,0,,0,0
s3,3,outer,Papyrus,2010-05-11 09:41:58+00:00,13253,10910,10910,581,581,581,2010-05-10 14:12:01+00:00,0,0
s3,3,inner_1,Papyrus,2007-03-21 20:51:32+00:00,13253,10910,10910,0,0,0,,0,0
s3,3,inner_2,Papyrus,2008-06-10 18:02:48+00:00,13253,10910,10910,0,0,0,,0,0
s2,1,outer,Papyrus,2007-03-21 20:51:32+00:00,13253,10910,10910,0,0,0,,0,0
s2,1,inner_1,Papyrus,2006-02-24 21:14:22+00:00,13253,10910,10910,0,0,0,,0,0
s2,1,inner_2,Papyrus,2006-10-10 17:41:17+00:00,13253,10910,10910,0,0,0,,0,0
s2,2,outer,Papyrus,2008-06-10 18:02:48+00:00,13253,10910,10910,0,0,0,,0,0
s2,2,inner_1,Papyrus,2006-10-10 17:41:17+00:00,13253,10910,10910,0,0,0,,0,0
s2,2,inner_2,Papyrus,2007-07-20 06:28:17+00:00,13253,10910,10910,0,0,0,,0,0
s2,3,outer,Papyrus,2010-05-11 09:41:58+00:00,13253,10910,10910,581,581,581,2010-05-10 14:12:01+00:00,0,0
s2,3,inner_1,Papyrus,2007-03-21 20:51:32+00:00,13253,10910,10910,0,0,0,,0,0
s2,3,inner_2,Papyrus,2008-06-10 18:02:48+00:00,13253,10910,10910,0,0,0,,0,0
s6,1,outer,PDE,2007-03-21 20:51:32+00:00,17639,15593,15593,6459,6459,6459,2007-03-21 19:55:18+00:00,0,0
s6,1,inner_1,PDE,2006-02-24 21:14:22+00:00,17639,15593,15593,5061,5061,5061,2006-02-24 20:26:46+00:00,0,0
s6,1,inner_2,PDE,2006-10-10 17:41:17+00:00,17639,15593,15593,5912,5912,5912,2006-10-10 12:00:27+00:00,0,0
s6,2,outer,PDE,2008-06-10 18:02:48+00:00,17639,15593,15593,8427,8427,8427,2008-06-10 17:49:44+00:00,0,0
s6,2,inner_1,PDE,2006-10-10 17:41:17+00:00,17639,15593,15593,5912,5912,5912,2006-10-10 12:00:27+00:00,0,0
s6,2,inner_2,PDE,2007-07-20 06:28:17+00:00,17639,15593,15593,6954,6954,6954,2007-07-19 20:46:28+00:00,0,0
s6,3,outer,PDE,2010-05-11 09:41:58+00:00,17639,15593,15593,11245,11245,11245,2010-05-10 18:55:43+00:00,0,0
s6,3,inner_1,PDE,2007-03-21 20:51:32+00:00,17639,15593,15593,6459,6459,6459,2007-03-21 19:55:18+00:00,0,0
